userName,score,at,content
Aji Aksyam,1,2024-10-29 10:04:12,"Aset crypto saya banyak yang hilang, telegram tidak aman untuk menyimpan aset crypto. Secara tiba2 hilang, setelah saya masukan nomor ke aplikasi telegram ternyata nomor saya di banned sepihak oleh pihak TELEGRAM. Setelah pengajuan berhasil tidak dibanned tapi semua kembali ke nol hilang semua aset crypto saya. Tolong kembalikan username aaksyam"
akun utama,1,2024-10-29 04:27:51,Tidak bisa mendaftar di karena tidak mendapatkan kode verifikasi.sudah 1 bulan saya tidak bisa mendaftar.mohon di perbaiki secepatnya
Rezky Adijaya,2,2024-10-29 04:04:27,"kenapa tidak bisa menangani nomor telepon yang di curi oleh orang lain? sangat di sayangkan, nomor telepon saya di pake oleh orang lain dan di kaitkan dengan email nya sendiri, jadi saya tidak bisa memakai nomor telepon saya lagi.."
Siti Maryam,3,2024-10-29 01:27:03,"Telegram sekarang susah untuk masuk, kode yg dikirim lewat cet telegram bukan lewat wa atau pun pesan,jadi agak sulit masuk ketika kita menggunakan no baru untuk telegram"
Nurhudaini siguntang Hatuala,1,2024-10-28 22:32:35,Aplikasi sangat buruk. Tidak ada keamanannya. Tiba2 log out Sndiri trus pas loging juga harus pake email. Giliran masukin kode email malah error. Mana nge-share link link untuk semua kontak lagi. Kan ada kontak2 dosen tidak enak kalau sampai masuk di kontak2 dosen. Tolong dong kebijakan keamanan dalam aplikasinya
Ilham Iluzio,5,2024-10-28 19:39:50,"Telegram jauh lebih baik daripada TERRABOX, jadi tolong telegram jangan bekerjasama dgn TERRABOX!! telegram sudah memberikan yg terbaik untuk kita smua dgn bebas iklan. Berbeda jauh dgn TERRABOX yg iklannya segunung, saya menyesal sudah mendownload TERRABOX. Terimakasih telegram karna is the best"
novia samrotul zannah,2,2024-10-28 15:57:12,"aku gabisa log in terus karena gak dapet kode otp, tulisannya ""kode otp udah dikirim ke akun telegram kamu"" padahal aku gapunya akun pake nomor itu sebelumnya, ada yang punya solusi? :( telegram tolong perbaiki dong"
Yunus Emre,1,2024-10-28 12:08:19,"Inii ngapaa siiii tele lama lama ngeselin jugaaaa dahh Gua mau ngirim kode verifikasi buat masuk aja kg bisa bisa pdhal jaringan stabil udah pake wifi juga tetep gk ke kirim"" kodenya bkin orang emosi dahhhhhhhhhhh"
Rafli Irwansyah,1,2024-10-28 10:12:20,kecewa berat no baru daftar bukannya kirim otp lewat SMS mala dikirim lewat app telegram mana masuk akal kan akun baru cik cik
Ana Ana,1,2024-10-28 06:09:04,"tolong ini gmn masa cm gara"" mencet link nomornya langsung d blok, trus ngirim pesan sendiri ke semua orng padahal sy ga ngirim kan gua jd maloeee"
dita heydier,2,2024-10-28 05:12:36,Untuk download drakor sudah selesai pengunduhan. Keluar apk sebentar pas masuk lagi udah download ulang lagi dari 0. PARAH !!!
mrs suntinah,1,2024-10-28 02:58:28,"APLIKASI SARANG PENIPU Begitu mudah akses aplikasi ini yang tidak bisa menjamin keamanan sama sekali. Nomor saya digunakan orang tidak bertanggung jawab, padahal saya tidak pernah sekalipun daftarkan nomor saya. Saya memiliki nomornya secara fisik namun tidak bisa mengaksesnya? Aneh lalu apa gunanya nomor telepon?"
Yws Lah,1,2024-10-27 16:42:17,"Aku gak suka karena udah daftar nomornya juga betul kok kode otp nya gak masuk, emang makin di upgrade bukan tambah bagus malah tambah minus aplikasi gak ngotak"
BINTANG DWI KURNIAWAN,1,2024-10-27 16:03:55,"Masa mau login di perangkat baru harus ada perangkat lama buat ngirim kode OTP nya, ga bisa dikirim lewat SMS aja apa? Ribet banget"
Riri,5,2024-10-27 12:39:50,"halo, saya pengguna lama telegram dan ini pertama kalinya saya memberi ulasan. aplikasinya bagus, saya suka. tapi ada yang saya tak suka, yaitu grup/saluran/bot yang mengarah seksual. juga ada beberapa pengguna yang menggunakan foto profil tak senonoh, ini id-nya @HotiPapi, @maaheswara, @jakengocok. tolong ditindak lanjuti ya, terima kasih!"
Yusri Muhammad,1,2024-10-27 12:11:01,"Saya disini untuk menyampaikan salah satu dari penyebab keluh kesah yang kalian dapatkan setelah mendownload telegram karena saya juga seperti itu, setelah saya masukkan nomor otp nya di kirim ke surel yang saya tidak ketahui dan mungkin ini ada KAITAN DENGAMN DI TANGKAPNYA PEMILIK TELEGRAM JADI ITU MEMPENGARUHI KUALITAS APLIKASI. Sekian terima kasih"
Rianty Rey,3,2024-10-27 11:49:26,"Aplikasinya sangat bagus tapi kurang satu, upload storynya terbatas dan perbayar gak sama kaya aplikasi lainnya"
Only Kai (Kaijo),1,2024-10-27 10:40:17,"Kode verifikasi tidak terkirim,padahal nomer,akun google,udh benerr semua, ada masalah apa sih😭padahal udh ngajuin masalahnya juga"
Octi Sinaga,3,2024-10-27 09:56:32,"sebenernya aplikasinya bagus, tapi baru 2 hari akunku kena banned gatau kenapa, udh gitu entah kenapa kode nya ga muncul²"
Nia Ani safitri,5,2024-10-27 08:49:41,"Mungkin enggak ada masalah ya ini aplikasi bagus,cuman misalnya kan gw udah siap buat nonton kan gw udah nonton berapa episode tuh,setelah gw nonton kembali kok katanya,""aplikasi tidak dapat memutar video ini, apakah anda ingin mencoba dengan aplikasi lain?""kayak gitu,itu kenapa yaa btw???????"
Taufik Wahyu,1,2024-10-27 05:58:50,"Tidak ada tanggapan dari pihak telegram terkait akun yang di banned padahal tidak melakukan apapun , tidak ada balasan atas komplain yang di ajukan pelayanan sangat kurang 👎"
Winter Fairy-!,1,2024-10-27 01:42:10,"Saya muak dengan spam chat yg saya terima di aplikasi ini, mohon untuk dijaga ketat lagi dong! Saya kesal dengan orang yg ngechat untuk telpon dengan saya padahal saya tidak Tau siapa mereka"
Frans Vella,2,2024-10-27 01:35:33,"Kode notifikasi nya gak ada terkirim min, berulang kali coba login pakai no hp yg sama gak juga bisa kenapa ya??? Mohon respon ."
Ayah Arva,5,2024-10-26 23:19:14,Buat opsi untuk akun bisnis seperti aplikasi hijau.jadi akun seseorang bisa menampilkan apa yang ia jual.ada etalase.buat sedemikian rupa agar orang yang mampir ke akun bisa melihat2 produk layaknya seller.buat forum dan permudah pemasaran untuk penjual.thanks
Fahrina putri Sapna,3,2024-10-26 16:48:40,"Ini aplikasi bagus sebenarnya. Tapi, kok suka tiba2 tiap video atau film yang udah didownload hilang sendiri ya? Aku udah capek loh padahal nge download-nya . Tolong coba kasih tau ini kenapa. Tahun2 kemarin aku sih gpp. Ini kek udah malas lo selalu gini."
Afra Naila,1,2024-10-26 15:52:51,"tidak cepat menanggapi masalah padahal masalah yang saya hadapi adalah email telegram saya di ganti tanpa izin dari saya, saya tidak bisa login telegram"
Felicia Heavenly,2,2024-10-26 08:47:40,"sebagai pengguna telegram saya sangat kecewa dengan tindakan tim telegram yang tidak kompeten ketika pengguna meminta permintaan untuk unbanned akun telegram. Jika memang saya tidak dapat menerima pesan dari tim telegram, saya akan uninstall aplikasi telegram di perangkat saya."
Anitaa Asr,5,2024-10-26 08:28:32,"sejauh ini sih sangat rekomendasi sekali ya, cuman untuk telegram tolong lah tolong tingkatkan lagi kualitas nya, karena sekarang klo vidio yg sudah saya download tiba tiba meloading lgi pdhl sudah di download video nya"
Amel,2,2024-10-26 05:33:13,"Tolong ini knp ya, saya mau daftar tapi loading nya lama bgt ga selesai² diulang²gitu trs. Nanti kalau sdh bisa masuk sy ksih bintng 5"
Frista Ella,1,2024-10-26 02:19:21,"tingkat keamanannya jelek. kena hack telegram saya. gimana cara balikinnya lg, surel udah di ganti sama yg hack. sedang nomornya aktif ada di saya. kenapa ga masuk aja otpnya ke nomor saya. aneh telegram. jelek aplikasinya."
Heru Masadi,5,2024-10-26 01:19:34,"Tiba-tiba log out dan tidak bisa login lagi. Kesalahan tidak bisa kirim sms, padahal semua ijin app sudah oke."
dianazel,2,2024-10-25 16:18:42,Ini akun sy kena hack ap y.... mau login via email kok gk bs. Masa email tdk tersedia. Tdk ada pengananan. Otp y harusny lewat nomer donk
Kama ludin,1,2024-10-25 12:15:23,"Saya mencoba kembali ke aplikasi ini karna fitur nearby cukup membantu tuk menemukan teman baru, lalu kenapa fitur sebagus ini malah dihapus?"
Mohammad Miftahul Khoir,1,2024-10-25 09:22:24,"Aplikasi kalo eror jadi lucu, gabisa logn, gabisa masuk, nunggu lama gak segera verifikasi, jelek tele sekarang"
Ibn Lilla,1,2024-10-25 09:09:44,"Sangat kesal dan sedih nomorku diblokir tanpa alasan, kumohon bantu pulihkan akunku beserta semua data dan chatnya, terdapat hal yang lebih penting daripada nyawaku disitu 😭🙏🏻🙏🏻"
Nur Hasanah,1,2024-10-25 08:54:17,"Parah ni telegram,makin buruk aja apk nya,masak nomor baru mau daftar aja g bisa,email ga di tanggapi,gimana nih,niat bikin apk g sih"
Dina Apriani,1,2024-10-25 07:26:49,"Ini kenpa sih, padahal saya cuma kirim screenshotan aja kena spam, saya coba sekali lagi malah kena blokir, akhirnya saya ga bisa login, kalau emang ke blokir tolong dong respon gmail saya, ini udah blokir tiba2 saya kirim mail pun ga d respon."
multibit curency,1,2024-10-24 14:16:30,"Aplikasi sampah, banyak airdrop crypto tapi developer nya tidak punya modal mohon masyarakat Indonesia dan negara lainpun jangan lagi garap airdrop telegram abu semua itu airdrop lagi nyari modal ke user faktanya mereka tidak punya duit cuma modal kasih game doang ke user buat ngerjain tugas nonton YouTube nonton iklan pas listing pembagian coin tidak sesuai dengan transaksi yang diberikan."
Arrum,2,2024-10-24 13:52:59,"aplikasi nya bagus cuman pas mau nambah akun kok ga bisa, malah coba lagi nanti gitu aja terus. kenapa kok sekarang gitu dulu ngga"
Ipan Irfan,1,2024-10-24 11:53:02,"Tolong lah pihak telegram mengapa telegram saya tiba"" Keblokir pedahal saya tidak pernah melanggar apa pun. Menunggu balesan dari e-mail aja tidak D respon sama sekali sudah satu minggu menunggu balesan namun tidak ada respon."
Tengkuadzkianurasyifa,1,2024-10-24 09:46:04,"Kenapa ya pas login telegramnya pasti nunggu kode verifikasi nya lama bgtt pdhl no telp nya udh bener mlh GK dikirim kodenya,trus udh minta laporan bantuan malah GK direspon. . tolong dong aplikasi nya di perbaiki lagi!semoga dibaca 🙏"
sayyida silvani,1,2024-10-24 09:21:28,"tele makin buruk, gabisa ngirim kode SMS, udah lama nungguin, udah berapa bulan ini ga diperbaiki?!!! minimal kalau udah buat aplikasi dibenerin lah"
lena azizah,1,2024-10-24 04:02:01,"tele ku kok ga bisa pake dua akun yaa? padahal sebelumnya bisa mana di akun yang ilang itu ada sesuatu yang penting, aneh banget ga bisa nambah akun lagi cuman satu akun aja😞😞"
Rudy Purwanto JZ13YHF,1,2024-10-23 16:50:35,Susah sekali untuk masuk... Konfirmasi melalui SMS tp tidak pernah dikirim. Aplikasi yg sangat payah dan tidak untuk direkomendasikan.... Apalagi untuk bisnis.
SkolastikaKarinaMeryBerera _X TKJ 2_ (X TKJ 2),1,2024-10-23 16:31:21,"tolongg banget telegrammm!!!!saya gabisa login, udh saya restart, udh make kirim kode ke email ttep gabisa,skrng saya gabisa masuk sama sekali ke telegram"
Source Gaming,1,2024-10-23 14:08:50,Sistem gajelas masa login ke perangkat baru kode nya masuk ke chat di dalam akun kan gabisa login harusnya kirim kode sms aneh banget mohon di perbaiki lagi sistem nya
Selvi Maharani,2,2024-10-23 06:20:56,Dulu semua video otomatis ke save ke galeri sekarang TIDAK hanya beberapa video saja yg bisa di sv saya kecewa
Vita Fatimah,1,2024-10-23 04:55:08,"burik padahal nomer dah bener,jaringan stabil tetep aja kode nya ga masuk di SMS mohon diperbaiki supaya saya bisa login!!!!"
Isna Sagita,1,2024-10-23 03:43:17,"Data Amat Sangat Tidak Aman.. 😤😤😡😡Akun saya ke hack orang & tidak bisa login lagi krn OTP masuk ke Aplikasi Telegram bukan ke SMS padahal nomor telp terdaftar masih nomor aktif saya..trus apa gunanya untuk daftarkan nomor telp klo ga bisa authorized OTP ??!!! 😡😡 boro - boro dpt OTP, login aja ga bisa 🤔.. Anehhh !! Sudah di email tapi tetep aja blm ada respon.. Berbahaya .. Akun orang gampang banget disalahgunakan.. 😤😤"
Novia Via,4,2024-10-23 00:56:59,Telegram sekarang kenapa jadi sangat lemot dan delay untuk pengriman chat nya? Padahal paketan data masih ada . Tolong perbaiki lagi dan juga klo bisa lbh baik dari apk sebelah. Berharap update selanjutnya bisa terealisasi kan lg fictur fictur nya. Thanks you
Mar Tianis,3,2024-10-22 12:25:19,"Aku nggk bisa loginn pliss!!!😭🙏🙏, aku udh masukin no telepon sama email nya truss katanya nanti dikirim kode lewat SMS tapi kode nya nggk ada, di hp lama bisa pass ganti hp nggk bisa login lagi, tolong ini gimana?"
Kirana kirana,2,2024-10-22 09:04:24,Ini tolong file gambar nya jadi kecil dan scroll nya harus pake tanda panah jadi susah di baca tolong di perbaiki🙏🙏
Almandha Dy,3,2024-10-22 06:15:52,"fiturnya sebenernya bagus, secara tiba tiba dapet link,setelah link nya di pencet ngisi data, dan keluar sndri dan ternyta ngirim pesan itu sndri dan ke blok lngsng telegram nya.aneh"
Irma Seftiani,3,2024-10-22 02:12:59,"Keserinhan eror. Udah d perbaharui malah ngk bisa nonton, pdahal video udah selesai di download. Pas keluar aplikasi, masuk lagi malah ulang ngedowloadnya"
Rosi Simanullang,1,2024-10-22 01:52:56,"Tidak bisa masuk sama sekali, terus muncul terjadi kesalahan pada hal uda bolak balik download apk ini tapi tetap ngak bisa masuk"
Ariski,1,2024-10-22 01:34:35,"Akun saya di hack ,sudah memasukkan nomor telpon dan surel tetapi tetap tidak mendapatkan verifikasi,harap tolong secepatnya dibantu sebelum data diri saya disebar!!!"
Salsabila Aprilia,1,2024-10-22 00:24:15,"ini abis di update malah sekarang kalo download video ada yang namanya data 'aneka ragam' jd keitung double filenya, buang2 kuota aja gajelas, gimana sih maksudnya?"
Muara Marcel,1,2024-10-21 19:05:24,"Susah sekali masuk kembali ke TELEGRAM, sudah masukkan gmail sesuai Sama kode otp tapi terjadi error bertuliskan email not allowed. Kalau tidak di perbaiki kecewa sudah pakai aplikasi pesan dari lama."
Syakira Dian Kusuma,1,2024-10-21 16:34:02,"awal awal bagus karena simpel & praktis tapi makin kesini makin ribet OTP nya ga kekirim di sms, gatau dikirim kemana, bikin bingung & ribet"
Desi Kha_19,1,2024-10-21 13:02:19,"tolong ini udah gonta-ganti nomor padahal tidak spam dan tidak melakukan apa-apa tiba-tiba besoknya diblokir, kalo mau login juga kode otp dikirim lewat tele, padahal tele aja masih login, tau itu untuk keamanan tapi kalo ngga dikirim lewat via SMS atau panggilan suara ya sulit, tolong untuk dikonfirmasi lebih cepat dan tanggap"
Elsa Novianti,2,2024-10-21 11:41:10,"apaan bgt telegram sekarang error, gabisa login padahal no aktip, jaringan bagus, tapi masih gak dapet kode verifikasi nya huh"
Najwa Leria,5,2024-10-21 10:47:05,"setiap mau posting video/foto selalu ngelag gak bisa dipencet terus tiba-tiba keluar sendiri, tolong diperbaiki :D"
23 muhammadtijanyusrilaizin,4,2024-10-21 05:39:00,Karena dengan telegram saya bisa mendapatkan informasi yang bermanfaat untuk saya dan menjadi platform untuk melihat film/movie yang tidak bisa ditonton secara global.
Desty Lismawati,1,2024-10-21 04:34:28,"Please telegram, pemulihan data bisa melalui email juga. Hp ke Reset, akun telegram hilang. Mau log in lagi ngga bisa karena nomor yg dulu belum ke luar akun. 😥"
Alif Dimas,1,2024-10-21 01:01:01,Sekarang jadi sulit login dan gak bisa ganti akun buat verifikasi login.. Untuk di reset itu sistem nya..
Kris Dandy,1,2024-10-20 17:11:46,"Klik pesan masuk yg ga tau & blm jelas mlah logout mulu, ga bisa balik.. Minimal ada keamanannya lah, itu pesan biasa / berbahaya tolong dibedain.. akun gw langsung spam chat sama akun google juga jadi kena, login lagi ga bisa"
Mutiara Dewi Matura,5,2024-10-20 14:09:14,untuk yg bikin telegram nya tlg ya fitur² ny sdh bgus cmn dimohon ada fitur story' nya y supaya kita yg main Rp tdk capek untuk pasang pp klo mau fotbar sekian trmksih
Susilo pri angga,1,2024-10-20 14:06:53,"Kok akun saya tiba-tiba keluar, dan saat lupa sandi susah bener buat masuk ulang,, padahal no yg sama dan email yg sama,, apk bagsat"
Futrawan Vhallesla,5,2024-10-19 14:31:42,"Suka banget dengan aplikasi Telegram, memudahkan dalam komunikasi + berbagai macam hall. Pokoknya the best lah aplikasi perpesanan ini, sangat bermanfaat"
salwa ramadani,1,2024-10-19 12:24:46,"Ada iklan masuk BLA BLA BLA, dan disuruh klik. Dan konfirmasi,, mengatas namakan telegram, stelah itu akun saya langsung di hack . Tolong kepada pihak telegram bagaimana cara mengatasi ini semua, apakah data2 saya aman atau tidak. Saya cuma takut kalau seandai nya foto2 dan semua data saya disalah gunakan oleh pihak yang tidak bertanggung jawab.. mohon bantuan nya,, tolong di jawab,, tidak copy paste tentu nya.. trimakasih sebelum nya"
TRIHAPSARI JAYANINGRUM,1,2024-10-19 10:57:26,"Padahal nomor ku baru tapi waktu daftar akun katanya kode di kirim ke perangkat lain padahal ini nomor baru belum pernah daftar telegram, udah menghubungi bantuan telegram tidak ada respon sama sekali, buruk sekali"
Tania amelia Lubis,1,2024-10-19 08:04:27,Gausah buat aplikasi kalau susah diloginin. Udah daritadi masukin nomor tapi pesan nya ga masuk masuk. Nomornya masih aktif tetap aja gabisa masuk.
Aji Rio93,1,2024-10-19 03:09:57,"Sampai sekarang belum dapat code verifikasi dari via SMS, lagi error kah telegram?? Dari tadi gak bisa log in."
Roronoa zoro,4,2024-10-18 21:07:16,"tolong fitur batasi penyimpanan konten diubah seperti dulu, karna itu bisa memprivate postingan kita,semenjak uptade sekarang bisa disimpan orang lain tolong pihak telegram ubah seperti dulu lagi Terima kasih."
Michael Sirait02,1,2024-10-18 15:24:15,"telegram kocak, mau sampe kapan kode verifikasinya ditunggu? sampe kiamat? saya sangat kecewa dengan kinerja telegram bagian kode verifikasi, saya cape dan muak dengan semua step² yang ga jelas. Ini termasuk penipuan sangat kecewaaaa, smph!!!!"
Mei Zahra,1,2024-10-18 14:22:19,"Saya mau login pakai nomor baru tapi kenapa tidak bisa, dan tidak ada notifikasi code yang harus nya saya terima, bagai mana iniii cem manaaa😔knp telegram sekarang makin susah untuk di gunakan"
Syifa,2,2024-10-18 14:11:58,"Ini telegram jadi kenapa si? Ga jelas banget. Iya bagus, tapi pas saya mau login ke akun saya, dan udah kirim kode verifikasi lewat email, terus di suruh masukin password, oke saya sendiri yang bikin password biar lebih aman. Tapi aneh, aneh banget. Masa pas saya udah masukin password nya, malah ga bisa dan ""kata sandi salah"" padahal itu udah bener lho? Malah, kata sandi nya juga udah di tampilin sama telegram nya tapi tetep aja ga bisa. Kenapa sih?"
Neni Fitriana,1,2024-10-18 11:51:03,"Ini kenapa aku gak bisa masuk ke TELEGRAMnya ya? Udah masukkan nomor muncul terus TERJADI KESALAHAN INTERNAL. SILAKAN COBA LAGI. Gitu terus sampai berulang-ulang. Sampai aku copot pasang lagi tapi masih sama juga kek gitu. Chache juga udah dihapus. Mana banyak grup mahasiswa penting lagi disitu, please somebody help"
Arra Ulhusna,3,2024-10-18 11:16:45,"Saya pernah mencoba apk ini di phone lama saya, saat saya coba di phone baru saya? Kenapa code verifikasi nya tidak keluar? Saya sudah memasuki nomor yang benar,mohon untuk admin telegram untuk memperbaiki ini atau beritahu solusi agar mendapat code verifikasi telegram,terimakasih."
MINOK GAMING,2,2024-10-18 10:25:25,"Tolong perbaiki min, aplikasinya pas baru buka, mau masukan nomor ada tulisan izinkan telegram melakukan dan mengelola panggilan telepon, pilihannya :izinkan atau tolak tapi gak bisa dipencet, tah bug atau gmana udah berulang kali slalu gk bisa dipencet pilihannya"
indrr yani,1,2024-10-18 05:36:18,"Kenapa setiap mau login gabisa nerima kode verif? kode nya masuk diperangkat lain, padahal nomor nya baru beli dan belum pernah dimasukin ke telegram, gajelas banget kocak"
syamsuddin agus,1,2024-10-18 04:48:40,"Mau login ulang di perangkat baru install kode verifikasi nya via telegram, bagaimana saya mau dapat kode sedangkan telegram aja baru mau login, semakin kesini semakin jelek aplikasinya"
Ayu Diah,1,2024-10-18 04:26:57,"Aplikasi nya sangat buruk saya sudah mencoba login dari seminggu yang lalu tapi tidak bisa sama sekali dan tidak mendapatkan sandi verifikasi sama sekali,Bahkan Pesan /telpon dari pihak telegram saja tidak masuk padahal nomor yang saya masih aktif dan sudah mencoba berbagai hall.. sangat buruk kecewa bjirr 😭🫵🏻🫵🏻"
Noval Tubagus,1,2024-10-18 03:41:54,"entah bug atau kena band, kenapaa sekarang tidak ada yg menyukai profil sayaa? dan sebalik nya jugaa saya menyukai profil org lain tapi tidak ada tanggapan ini kenapaa yaa?"
Agung Hasyim Asyari,1,2024-10-18 01:03:55,Kode OTP ga dikirim #help sudah 1 minggu mencoba untuk login ke telegram tapi ga pernah bisa karena kode OTP ga pernah di terima
Muhammad Ramdan,2,2024-10-17 15:49:59,coba dong di perbaiki saya ngetik di telegram kok jadi lemot banget padahal memori saya masih banyak dan juga klo ngetik di aplikasi lain lancar tapi di telegram malah lemot
ari Prastya,1,2024-10-17 15:13:21,Saya baru pakek telegram udah kena tipu katanya nonton iklan digaji trs deposit udah saya deposit uang gk kembali dan gk dapa gaji .. kalo gaji dan uang saya gk kembali telegram ini harus di hapus biar tidak ada korban penipuan lagi
Citra Tasya Nabila,4,2024-10-17 14:57:08,"Sebenernya bagus, tapi ya tetep ada beberapa kendala. Misalnya notifikasi tuh gapernah masuk padahal dinyalain, masuk pas setiap buka tele aja. Terus kalau download video, video nya ga muncul di opsi ""unduhan"" jadinya ribet harus cari channel nya lagi. Kadang juga suka keluar sendiri."
